LAT,LON,YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,RH2M,T2M_MAX,T2M_MIN
3.5,-72.5,2022,1,18,6.61,3.62,79.56,30.74,22.96
4.5,-72.5,2022,1,18,6.42,3.6,70.68,32.83,24.39
5.5,-72.5,2022,1,18,6.59,3.46,80.52,24.22,16.19
6.5,-72.5,2022,1,18,6.74,4.11,81.51,18.61,8.57
2.5,-72.5,2022,1,19,6.85,5.78,86.21,29.12,23.01
3.5,-72.5,2022,1,19,6.81,5.76,70.53,33.54,22.88
4.5,-72.5,2022,1,19,6.78,5.9,59.77,36.0,23.15
5.5,-72.5,2022,1,19,7.0,5.42,71.54,25.67,15.62
6.5,-72.5,2022,1,19,6.99,4.95,77.26,19.0,8.86
2.5,-72.5,2022,1,20,6.77,4.65,84.28,29.1,22.14
3.5,-72.5,2022,1,20,6.73,4.69,72.49,32.41,22.26
4.5,-72.5,2022,1,20,6.79,5.23,61.51,34.99,22.71
5.5,-72.5,2022,1,20,6.99,5.39,72.18,26.26,15.08
6.5,-72.5,2022,1,20,7.15,5.23,77.35,18.98,8.44
2.5,-72.5,2022,1,21,6.7,3.65,85.97,30.43,21.55
3.5,-72.5,2022,1,21,6.64,3.78,67.52,35.07,22.42
4.5,-72.5,2022,1,21,6.63,5.52,56.07,36.79,24.74
5.5,-72.5,2022,1,21,6.76,5.22,69.91,26.89,16.18
6.5,-72.5,2022,1,21,6.89,5.19,77.01,19.31,8.54
2.5,-72.5,2022,1,22,6.77,5.39,90.21,28.93,23.32
3.5,-72.5,2022,1,22,6.7,5.51,72.72,34.67,23.94
4.5,-72.5,2022,1,22,6.7,6.07,56.3,37.36,25.83
5.5,-72.5,2022,1,22,6.84,5.74,70.21,26.9,16.37
6.5,-72.5,2022,1,22,6.97,5.2,78.68,19.67,7.42
2.5,-72.5,2022,1,23,6.82,5.49,88.05,29.65,23.17
3.5,-72.5,2022,1,23,6.75,5.54,74.0,34.63,23.8
4.5,-72.5,2022,1,23,6.62,5.31,62.52,36.1,24.74
5.5,-72.5,2022,1,23,6.58,4.24,76.33,25.12,17.01
6.5,-72.5,2022,1,23,6.9,4.19,77.95,20.64,9.48
2.5,-72.5,2022,1,24,6.78,5.04,89.05,29.46,23.19
3.5,-72.5,2022,1,24,6.7,5.27,76.05,32.35,23.95
4.5,-72.5,2022,1,24,6.66,4.61,63.86,36.06,24.71
5.5,-72.5,2022,1,24,6.79,3.8,71.7,24.19,17.13
6.5,-72.5,2022,1,24,6.96,4.57,76.67,19.7,9.45
2.5,-72.5,2022,1,25,6.81,5.57,93.18,27.05,23.18
3.5,-72.5,2022,1,25,6.74,5.64,76.44,32.58,23.65
4.5,-72.5,2022,1,25,6.68,5.61,57.48,36.73,24.61
5.5,-72.5,2022,1,25,6.99,4.67,65.77,25.98,16.12
6.5,-72.5,2022,1,25,6.91,4.71,73.09,20.56,8.65
2.5,-72.5,2022,1,26,6.63,4.65,88.3,28.91,22.2
3.5,-72.5,2022,1,26,6.54,4.79,78.49,30.57,23.33
4.5,-72.5,2022,1,26,6.56,5.04,68.96,31.68,25.17
5.5,-72.5,2022,1,26,6.68,4.95,75.58,23.72,17.25
6.5,-72.5,2022,1,26,6.85,5.11,76.51,20.41,9.34
2.5,-72.5,2022,1,27,6.96,6.05,87.68,29.39,22.8
3.5,-72.5,2022,1,27,6.87,6.35,64.44,35.39,23.04
4.5,-72.5,2022,1,27,6.72,6.2,53.65,37.29,23.9
5.5,-72.5,2022,1,27,6.92,6.13,63.97,26.19,15.62
6.5,-72.5,2022,1,27,6.98,6.06,66.61,21.4,6.47
2.5,-72.5,2022,1,28,7.09,7.07,84.06,30.19,20.93
3.5,-72.5,2022,1,28,7.06,6.78,53.21,36.4,19.92
